,gene_name,ensembl_gene_id,chromosome,Source,Start,Strand,gene_source,gene_biotype,gene_length,gene_coding_length,Approved symbol,Approved name,Status,Previous symbols,Alias symbols,gene_include,n_cells,pct_cells
SCNN1D,SCNN1D,ENSG00000162572,1,ensembl_havana,1280435,+,ensembl_havana,protein_coding,11594,4025,SCNN1D,sodium channel epithelial 1 subunit delta,Approved,nan,"ENaCdelta, dNaCh",True,1204,0.5757294645333435
ACAP3,ACAP3,ENSG00000131584,1,ensembl_havana,1292375,-,ensembl_havana,protein_coding,17234,8809,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",Approved,CENTB5,KIAA1716,True,12577,6.014077637405201
PUSL1,PUSL1,ENSG00000169972,1,ensembl_havana,1308566,+,ensembl_havana,protein_coding,3111,2489,PUSL1,pseudouridine synthase like 1,Approved,nan,FLJ90811,True,1489,0.7120109407725486
CPSF3L,CPSF3L,ENSG00000127054,1,ensembl_havana,1311584,-,ensembl_havana,protein_coding,13107,8220,INTS11,integrator complex subunit 11,Approved,CPSF3L,"FLJ20542, RC-68, CPSF73L, INT11",True,13806,6.6017616173981235
CPTP,CPTP,ENSG00000224051,1,ensembl_havana,1324755,+,ensembl_havana,protein_coding,4142,2556,CPTP,ceramide-1-phosphate transfer protein,Approved,GLTPD1,MGC10334,True,3218,1.5387852299570595
TAS1R3,TAS1R3,ENSG00000169962,1,ensembl_havana,1331313,+,ensembl_havana,protein_coding,3993,3433,TAS1R3,taste 1 receptor member 3,Approved,nan,T1R3,True,88,0.04207989441771946
DVL1,DVL1,ENSG00000107404,1,ensembl_havana,1335275,-,ensembl_havana,protein_coding,14075,3814,DVL1,dishevelled segment polarity protein 1,Approved,nan,nan,True,5128,2.452110211068925
MXRA8,MXRA8,ENSG00000162576,1,ensembl_havana,1352688,-,ensembl_havana,protein_coding,9089,3622,MXRA8,matrix remodeling associated 8,Approved,nan,DKFZp586E2023,True,6097,2.915467230282222
AURKAIP1,AURKAIP1,ENSG00000175756,1,ensembl_havana,1373729,-,ensembl_havana,protein_coding,1766,1669,AURKAIP1,aurora kinase A interacting protein 1,Approved,nan,"AKIP, AIP, FLJ20608",True,8098,3.872306647666957
CCNL2,CCNL2,ENSG00000221978,1,ensembl_havana,1385710,-,ensembl_havana,protein_coding,13618,6850,CCNL2,cyclin L2,Approved,CCNM,"ania-6b, PCEE, SB138, HLA-ISO, CCNS",True,30884,14.768130218145998
ANKRD65,ANKRD65,ENSG00000235098,1,ensembl_havana,1418419,-,ensembl_havana,protein_coding,3350,2644,ANKRD65,ankyrin repeat domain 65,Approved,nan,nan,True,1946,0.9305394833736599
VWA1,VWA1,ENSG00000179403,1,ensembl_havana,1434860,+,ensembl_havana,protein_coding,8022,5065,VWA1,von Willebrand factor A domain containing 1,Approved,nan,"FLJ22215, VWA-1, WARP",True,7013,3.3534806767212113
ATAD3C,ATAD3C,ENSG00000215915,1,ensembl_havana,1449688,+,ensembl_havana,protein_coding,20470,3976,ATAD3C,ATPase family AAA domain containing 3C,Approved,nan,FLJ34599,True,2461,1.1768025018409953
ATAD3B,ATAD3B,ENSG00000160072,1,ensembl_havana,1471768,+,ensembl_havana,protein_coding,26080,7682,ATAD3B,ATPase family AAA domain containing 3B,Approved,nan,"TOB3, KIAA1273",True,7735,3.698727083193864
ATAD3A,ATAD3A,ENSG00000197785,1,ensembl_havana,1512150,+,ensembl_havana,protein_coding,22537,3069,ATAD3A,ATPase family AAA domain containing 3A,Approved,nan,FLJ10709,True,4795,2.2928760651473277
TMEM240,TMEM240,ENSG00000205090,1,ensembl_havana,1535173,-,ensembl_havana,protein_coding,5280,1380,TMEM240,transmembrane protein 240,Approved,"C1orf70, SCA21",nan,True,415,0.1984449566290179
SSU72,SSU72,ENSG00000160075,1,ensembl_havana,1541672,-,ensembl_havana,protein_coding,33197,6925,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",Approved,nan,HSPC182,True,13521,6.465480141158919
AL645728.1,AL645728.1,ENSG00000279244,1,ensembl,1579755,+,ensembl,protein_coding,291,276,nan,nan,nan,nan,nan,True,11,0.005259986802214933
C1orf233,C1orf233,ENSG00000228594,1,ensembl_havana,1598011,-,ensembl_havana,protein_coding,2085,2085,FNDC10,fibronectin type III domain containing 10,Approved,C1orf233,nan,True,435,0.20800856899668144
MIB2,MIB2,ENSG00000197530,1,ensembl_havana,1615414,+,ensembl_havana,protein_coding,15196,8767,MIB2,mindbomb E3 ubiquitin protein ligase 2,Approved,ZZANK1,"skeletrophin, ZZZ5, FLJ39787",True,8498,4.063578895020227
MMP23B,MMP23B,ENSG00000189409,1,ensembl_havana,1632094,+,ensembl_havana,protein_coding,69716,2714,MMP23B,matrix metallopeptidase 23B,Approved,MMP22,"MIFR, MIFR-1",True,17313,8.278741046067921
CDK11B,CDK11B,ENSG00000248333,1,ensembl_havana,1635226,-,ensembl_havana,protein_coding,23786,3488,CDK11B,cyclin dependent kinase 11B,Approved,CDC2L1,"CDK11-p110, CDK11-p58, CDK11-p46",True,8386,4.010022665761311
SLC35E2B,SLC35E2B,ENSG00000189339,1,ensembl_havana,1659528,-,ensembl_havana,protein_coding,33200,8395,SLC35E2B,solute carrier family 35 member E2B,Approved,nan,nan,True,8974,4.291192869370619
CDK11A,CDK11A,ENSG00000008128,1,ensembl_havana,1702729,-,ensembl_havana,protein_coding,21595,4701,CDK11A,cyclin dependent kinase 11A,Approved,"CDC2L3, CDC2L2","PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA",True,4501,2.152290963342674
SLC35E2,SLC35E2,ENSG00000215790,1,ensembl_havana,1724837,-,ensembl_havana,protein_coding,21155,3264,SLC35E2A,solute carrier family 35 member E2A,Approved,SLC35E2,KIAA0447,True,7843,3.750370589979247
NADK,NADK,ENSG00000008130,1,ensembl_havana,1751231,-,ensembl_havana,protein_coding,29226,5570,NADK,NAD kinase,Approved,nan,FLJ13052,True,9180,4.389698076757553
GNB1,GNB1,ENSG00000078369,1,ensembl_havana,1785284,-,ensembl_havana,protein_coding,105833,6417,GNB1,G protein subunit beta 1,Approved,nan,nan,True,43674,20.884060327266816
CALML6,CALML6,ENSG00000169885,1,ensembl_havana,1914826,+,ensembl_havana,protein_coding,2470,2321,CALML6,calmodulin like 6,Approved,nan,CAGLP,True,197,0.09420158182148561
TMEM52,TMEM52,ENSG00000178821,1,ensembl_havana,1917589,-,ensembl_havana,protein_coding,1684,1594,TMEM52,transmembrane protein 52,Approved,nan,nan,True,345,0.16497231334219561
CFAP74,CFAP74,ENSG00000142609,1,ensembl_havana,1921950,-,ensembl_havana,protein_coding,81887,10422,CFAP74,cilia and flagella associated protein 74,Approved,"C1orf222, KIAA1751",FLJ45476,True,2836,1.3561202337346863
GABRD,GABRD,ENSG00000187730,1,ensembl_havana,2019323,+,ensembl_havana,protein_coding,11428,1928,GABRD,gamma-aminobutyric acid type A receptor subunit delta,Approved,nan,nan,True,207,0.09898338800531736
PRKCZ,PRKCZ,ENSG00000067606,1,ensembl_havana,2050469,+,ensembl_havana,protein_coding,134926,7636,PRKCZ,protein kinase C zeta,Approved,nan,PKC2,True,15393,7.360634258772223
FAAP20,FAAP20,ENSG00000162585,1,ensembl_havana,2184460,-,ensembl_havana,protein_coding,28260,10916,FAAP20,FA core complex associated protein 20,Approved,C1orf86,FLJ31031,True,9285,4.439907041687786
SKI,SKI,ENSG00000157933,1,ensembl_havana,2228694,+,ensembl_havana,protein_coding,81425,6080,SKI,SKI proto-oncogene,Approved,nan,nan,True,15321,7.3262052542486344
MORN1,MORN1,ENSG00000116151,1,ensembl_havana,2321252,-,ensembl_havana,protein_coding,70455,11337,MORN1,MORN repeat containing 1,Approved,nan,FLJ13941,True,4157,1.9877968306188614
RER1,RER1,ENSG00000157916,1,ensembl_havana,2391774,+,ensembl_havana,protein_coding,13670,5691,RER1,retention in endoplasmic reticulum sorting receptor 1,Approved,nan,nan,True,10435,4.989814752828439
PEX10,PEX10,ENSG00000157911,1,ensembl_havana,2403963,-,ensembl_havana,protein_coding,9834,3789,PEX10,peroxisomal biogenesis factor 10,Approved,nan,RNF69,True,4508,2.155638227671356
PLCH2,PLCH2,ENSG00000149527,1,ensembl_havana,2425979,+,ensembl_havana,protein_coding,79551,10781,PLCH2,phospholipase C eta 2,Approved,PLCL4,"KIAA0450, PLCeta2, RP3-395M20.1, PLC-eta2",True,2520,1.2050151583256028
PANK4,PANK4,ENSG00000157881,1,ensembl_havana,2508532,-,ensembl_havana,protein_coding,18096,5107,PANK4,pantothenate kinase 4 (inactive),Approved,nan,FLJ10782,True,1750,0.8368160821705575
HES5,HES5,ENSG00000197921,1,ensembl_havana,2528744,-,ensembl_havana,protein_coding,1501,1306,HES5,hes family bHLH transcription factor 5,Approved,nan,bHLHb38,True,123,0.05881621606113061
TNFRSF14,TNFRSF14,ENSG00000157873,1,ensembl_havana,2555638,+,ensembl_havana,protein_coding,9744,6219,TNFRSF14,TNF receptor superfamily member 14,Approved,nan,"HVEM, ATAR, TR2, LIGHTR, HVEA, CD270",True,9930,4.748333540544935
FAM213B,FAM213B,ENSG00000157870,1,ensembl_havana,2586490,+,ensembl_havana,protein_coding,4979,3371,PRXL2B,peroxiredoxin like 2B,Approved,"C1orf93, FAM213B",MGC26818,True,1717,0.8210361217639127
MMEL1,MMEL1,ENSG00000142606,1,ensembl_havana,2590638,-,ensembl_havana,protein_coding,42352,3844,MMEL1,membrane metalloendopeptidase like 1,Approved,MMEL2,"SEP, NL1, NL2, NEPII",True,675,0.3227719174086436
TTC34,TTC34,ENSG00000215912,1,ensembl_havana,2635975,-,ensembl_havana,protein_coding,153780,7257,TTC34,tetratricopeptide repeat domain 34,Approved,nan,nan,True,677,0.32372827864540993
PRDM16,PRDM16,ENSG00000142611,1,ensembl_havana,3069167,+,ensembl_havana,protein_coding,369454,9767,PRDM16,PR/SET domain 16,Approved,nan,"MEL1, PFM13, KIAA1675, MGC166915, KMT8F",True,9669,4.623528399146926
ARHGEF16,ARHGEF16,ENSG00000130762,1,ensembl_havana,3454425,+,ensembl_havana,protein_coding,26688,5563,ARHGEF16,Rho guanine nucleotide exchange factor 16,Approved,nan,"NBR, GEF16",True,2690,1.2863058634507427
MEGF6,MEGF6,ENSG00000162591,1,ensembl_havana,3489919,-,ensembl_havana,protein_coding,121576,7039,MEGF6,multiple EGF like domains 6,Approved,EGFL3,nan,True,7282,3.4821112630662854
TPRG1L,TPRG1L,ENSG00000158109,1,ensembl_havana,3625001,+,ensembl_havana,protein_coding,5126,2414,TPRG1L,tumor protein p63 regulated 1 like,Approved,FAM79A,"RP11-46F15.3, FLJ21811",True,3159,1.510572573472452
WRAP73,WRAP73,ENSG00000116213,1,ensembl_havana,3630766,-,ensembl_havana,protein_coding,21995,7604,WRAP73,"WD repeat containing, antisense to TP73",Approved,WDR8,nan,True,2920,1.396287405678873
TP73,TP73,ENSG00000078900,1,ensembl_havana,3652519,+,ensembl_havana,protein_coding,83682,6763,TP73,tumor protein p73,Approved,nan,P73,True,1546,0.7392672360203896
CCDC27,CCDC27,ENSG00000162592,1,ensembl_havana,3752397,+,ensembl_havana,protein_coding,19248,2318,CCDC27,coiled-coil domain containing 27,Approved,nan,FLJ32825,True,387,0.18505589931428898
SMIM1,SMIM1,ENSG00000235169,1,ensembl_havana,3772787,+,ensembl_havana,protein_coding,3195,954,SMIM1,small integral membrane protein 1 (Vel blood group),Approved,nan,Vel,True,582,0.27830111989900824
LRRC47,LRRC47,ENSG00000130764,1,ensembl_havana,3778557,-,ensembl_havana,protein_coding,17947,4516,LRRC47,leucine rich repeat containing 47,Approved,nan,"KIAA1185, RP1-286D6.3",True,5532,2.645295180895728
CEP104,CEP104,ENSG00000116198,1,ensembl_havana,3812080,-,ensembl_havana,protein_coding,45134,7876,CEP104,centrosomal protein 104,Approved,KIAA0562,"GlyBP, RP1-286D6.4, CFAP256, ROC22, JBTS25",True,9566,4.574275795453459
DFFB,DFFB,ENSG00000169598,1,ensembl_havana,3857266,+,ensembl_havana,protein_coding,28163,3870,DFFB,DNA fragmentation factor subunit beta,Approved,nan,"CAD, CPAN, DFF-40, DFF40",True,1880,0.8989795625603703
C1orf174,C1orf174,ENSG00000198912,1,ensembl_havana,3889124,-,ensembl_havana,protein_coding,11169,4388,C1orf174,chromosome 1 open reading frame 174,Approved,nan,RP13-531C17.2,True,3364,1.608599600241003
AJAP1,AJAP1,ENSG00000196581,1,ensembl_havana,4654731,+,ensembl_havana,protein_coding,137803,12405,AJAP1,adherens junctions associated protein 1,Approved,nan,"SHREW1, SHREW-1, MOT8",True,1316,0.6292856937922592
NPHP4,NPHP4,ENSG00000131697,1,ensembl_havana,5862810,-,ensembl_havana,protein_coding,129663,13167,NPHP4,nephrocystin 4,Approved,nan,"SLSN4, KIAA0673, POC10",True,5500,2.629993401107466
KCNAB2,KCNAB2,ENSG00000069424,1,ensembl_havana,5991465,+,ensembl_havana,protein_coding,109728,9534,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,Approved,nan,"AKR6A5, KCNA2B, HKvbeta2.1, HKvbeta2.2",True,8203,3.92251561259719
CHD5,CHD5,ENSG00000116254,1,ensembl_havana,6101792,-,ensembl_havana,protein_coding,78331,9890,CHD5,chromodomain helicase DNA binding protein 5,Approved,nan,nan,True,1343,0.6421965704886049
RNF207,RNF207,ENSG00000158286,1,ensembl_havana,6205474,+,ensembl_havana,protein_coding,15825,6585,RNF207,ring finger protein 207,Approved,C1orf188,"FLJ46380, FLJ32096",True,5853,2.7987911593967274
ICMT,ICMT,ENSG00000116237,1,ensembl_havana,6221192,-,ensembl_havana,protein_coding,14780,4910,ICMT,isoprenylcysteine carboxyl methyltransferase,Approved,nan,"PCCMT, HSTE14, PPMT",True,4069,1.945716936201142
GPR153,GPR153,ENSG00000158292,1,ensembl_havana,6247345,-,ensembl_havana,protein_coding,13630,4082,GPR153,G protein-coupled receptor 153,Approved,nan,PGR1,True,2641,1.262875013149967
ACOT7,ACOT7,ENSG00000097021,1,ensembl_havana,6264268,-,ensembl_havana,protein_coding,130123,4124,ACOT7,acyl-CoA thioesterase 7,Approved,nan,"BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH",True,5692,2.721804079837036
HES2,HES2,ENSG00000069812,1,ensembl_havana,6412417,-,ensembl_havana,protein_coding,12253,5407,HES2,hes family bHLH transcription factor 2,Approved,nan,bHLHb40,True,1395,0.6670619626445301
ESPN,ESPN,ENSG00000187017,1,ensembl_havana,6424787,+,ensembl_havana,protein_coding,36583,4651,ESPN,espin,Approved,DFNB36,nan,True,2633,1.2590495682029017
TNFRSF25,TNFRSF25,ENSG00000215788,1,ensembl_havana,6461150,-,ensembl_havana,protein_coding,5045,3918,TNFRSF25,TNF receptor superfamily member 25,Approved,TNFRSF12,"DR3, TRAMP, WSL-1, LARD, WSL-LR, DDR3, TR3, APO-3",True,4672,2.2340598490861967
PLEKHG5,PLEKHG5,ENSG00000171680,1,ensembl_havana,6466091,-,ensembl_havana,protein_coding,53970,6920,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,Approved,nan,"KIAA0720, Syx, GEF720, Tech",True,5323,2.545355431653644
NOL9,NOL9,ENSG00000162408,1,ensembl_havana,6521346,-,ensembl_havana,protein_coding,33189,7293,NOL9,nucleolar protein 9,Approved,nan,"FLJ23323, NET6, Grc3",True,9895,4.731597218901523
TAS1R1,TAS1R1,ENSG00000173662,1,ensembl_havana,6555180,+,ensembl_havana,protein_coding,24577,2892,TAS1R1,taste 1 receptor member 1,Approved,GPR70,"T1R1, TR1",True,2737,1.3087803525147519
ZBTB48,ZBTB48,ENSG00000204859,1,ensembl_havana,6580000,+,ensembl_havana,protein_coding,9280,4503,ZBTB48,zinc finger and BTB domain containing 48,Approved,HKR3,"ZNF855, TZAP",True,4416,2.111645610780104
KLHL21,KLHL21,ENSG00000162413,1,ensembl_havana,6590723,-,ensembl_havana,protein_coding,23884,6901,KLHL21,kelch like family member 21,Approved,nan,KIAA0469,True,8640,4.131480542830638
PHF13,PHF13,ENSG00000116273,1,ensembl_havana,6613684,+,ensembl_havana,protein_coding,10349,3681,PHF13,PHD finger protein 13,Approved,nan,MGC43399,True,2744,1.3121276168434342
THAP3,THAP3,ENSG00000041988,1,ensembl_havana,6624865,+,ensembl_havana,protein_coding,10721,4072,THAP3,THAP domain containing 3,Approved,nan,nan,True,3333,1.5937760010711246
DNAJC11,DNAJC11,ENSG00000007923,1,ensembl_havana,6634167,-,ensembl_havana,protein_coding,67757,5083,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,Approved,nan,FLJ10737,True,17099,8.17641039373392
CAMTA1,CAMTA1,ENSG00000171735,1,ensembl_havana,6785323,+,ensembl_havana,protein_coding,984383,10033,CAMTA1,calmodulin binding transcription activator 1,Approved,nan,KIAA0833,True,39237,18.762372923500664
VAMP3,VAMP3,ENSG00000049245,1,ensembl_havana,7771268,+,ensembl_havana,protein_coding,10164,2760,VAMP3,vesicle associated membrane protein 3,Approved,nan,CEB,True,4512,2.1575509501448886
PER3,PER3,ENSG00000049246,1,ensembl_havana,7784319,+,ensembl_havana,protein_coding,60858,8099,PER3,period circadian regulator 3,Approved,nan,nan,True,19094,9.130380727408356
UTS2,UTS2,ENSG00000049247,1,ensembl_havana,7843082,-,ensembl_havana,protein_coding,10430,1791,UTS2,urotensin 2,Approved,nan,"UII, U-II, UCN2, PRO1068",True,566,0.2706502300048774
TNFRSF9,TNFRSF9,ENSG00000049249,1,ensembl_havana,7915893,-,ensembl_havana,protein_coding,27272,6331,TNFRSF9,TNF receptor superfamily member 9,Approved,ILA,"CD137, 4-1BB",True,519,0.2481757409408682
PARK7,PARK7,ENSG00000116288,1,ensembl_havana,7954290,+,ensembl_havana,protein_coding,31215,2397,PARK7,Parkinsonism associated deglycase,Approved,nan,"DJ-1, DJ1, GATD2",True,10343,4.945822135937187
ERRFI1,ERRFI1,ENSG00000116285,1,ensembl_havana,8004403,-,ensembl_havana,protein_coding,21905,4186,ERRFI1,ERBB receptor feedback inhibitor 1,Approved,nan,"MIG-6, GENE-33, RALT",True,29549,14.12975909260446
SLC45A1,SLC45A1,ENSG00000162426,1,ensembl_havana,8317825,+,ensembl_havana,protein_coding,26342,2888,SLC45A1,solute carrier family 45 member 1,Approved,DNB5,nan,True,3410,1.630595908686629
RERE,RERE,ENSG00000142599,1,ensembl_havana,8352396,-,ensembl_havana,protein_coding,465247,11503,RERE,arginine-glutamic acid dipeptide repeats,Approved,ATN1L,"KIAA0458, ARP, ARG, DNB1, ATN2",True,104911,50.166406855197344
ENO1,ENO1,ENSG00000074800,1,ensembl_havana,8861001,-,ensembl_havana,protein_coding,18248,3958,ENO1,enolase 1,Approved,"ENO1L1, MPB1","PPH, MBP-1",True,23281,11.132522976578713
CA6,CA6,ENSG00000131686,1,ensembl_havana,8945866,+,ensembl_havana,protein_coding,29226,2662,CA6,carbonic anhydrase 6,Approved,nan,nan,True,1168,0.5585149622715492
SLC2A7,SLC2A7,ENSG00000197241,1,ensembl_havana,9003299,-,ensembl_havana,protein_coding,23046,1539,SLC2A7,solute carrier family 2 member 7,Approved,nan,GLUT7,True,487,0.23287396115260656
SLC2A5,SLC2A5,ENSG00000142583,1,ensembl_havana,9035106,-,ensembl_havana,protein_coding,53372,6693,SLC2A5,solute carrier family 2 member 5,Approved,GLUT5,nan,True,3921,1.874946204680432
GPR157,GPR157,ENSG00000180758,1,ensembl_havana,9100304,-,ensembl_havana,protein_coding,28866,5372,GPR157,G protein-coupled receptor 157,Approved,nan,FLJ12132,True,7414,3.5452311046928644
H6PD,H6PD,ENSG00000049239,1,ensembl_havana,9234774,+,ensembl_havana,protein_coding,36563,9321,H6PD,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,Approved,GDH,H6PDH,True,15307,7.31951072559127
SPSB1,SPSB1,ENSG00000171621,1,ensembl_havana,9292879,+,ensembl_havana,protein_coding,76653,3403,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1,Approved,nan,SSB-1,True,14823,7.088071306293814
SLC25A33,SLC25A33,ENSG00000171612,1,ensembl_havana,9539481,+,ensembl_havana,protein_coding,45698,3854,SLC25A33,solute carrier family 25 member 33,Approved,nan,"MGC4399, BMSC-MCP, PNC1",True,14356,6.86476095750887
TMEM201,TMEM201,ENSG00000188807,1,ensembl_havana,9588921,+,ensembl_havana,protein_coding,25952,6966,TMEM201,transmembrane protein 201,Approved,nan,"RP13-15M17.2, NET5, Ima1, SAMP1",True,1742,0.8329906372234921
PIK3CD,PIK3CD,ENSG00000171608,1,ensembl_havana,9651731,+,ensembl_havana,protein_coding,77383,6332,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",Approved,nan,p110D,True,8527,4.077446132953339
CLSTN1,CLSTN1,ENSG00000171603,1,ensembl_havana,9729025,-,ensembl_havana,protein_coding,95501,5559,CLSTN1,calsyntenin 1,Approved,nan,"CSTN1, KIAA0911, CDHR12",True,21901,10.472633723209931
CTNNBIP1,CTNNBIP1,ENSG00000178585,1,ensembl_havana,9848275,-,ensembl_havana,protein_coding,62061,3339,CTNNBIP1,catenin beta interacting protein 1,Approved,nan,"ICAT, MGC15093",True,19201,9.181546053575357
LZIC,LZIC,ENSG00000162441,1,ensembl_havana,9922112,-,ensembl_havana,protein_coding,21295,2794,LZIC,leucine zipper and CTNNBIP1 domain containing,Approved,nan,MGC15436,True,6645,3.1775102091562024
NMNAT1,NMNAT1,ENSG00000173614,1,ensembl_havana,9943427,+,ensembl_havana,protein_coding,42074,4610,NMNAT1,nicotinamide nucleotide adenylyltransferase 1,Approved,LCA9,"NMNAT, PNAT1",True,10442,4.993162017157121
RBP7,RBP7,ENSG00000162444,1,ensembl_havana,9997205,+,ensembl_havana,protein_coding,18815,861,RBP7,retinol binding protein 7,Approved,nan,CRBPIV,True,2700,1.2910876696345743
UBE4B,UBE4B,ENSG00000130939,1,ensembl_havana,10032831,+,ensembl_havana,protein_coding,148408,9128,UBE4B,ubiquitination factor E4B,Approved,nan,"UBOX3, E4, UFD2, KIAA0684",True,45390,21.704618268412343
KIF1B,KIF1B,ENSG00000054523,1,ensembl_havana,10210804,+,ensembl_havana,protein_coding,170799,17720,KIF1B,kinesin family member 1B,Approved,"CMT2A, CMT2","KIAA0591, KLP, HMSNII",True,62167,29.727054503026885
PGD,PGD,ENSG00000142657,1,ensembl_havana,10398591,+,ensembl_havana,protein_coding,21553,2966,PGD,phosphogluconate dehydrogenase,Approved,nan,nan,True,10579,5.0586727618756155
APITD1-CORT,APITD1-CORT,ENSG00000251503,1,ensembl_havana,10430101,+,ensembl_havana,protein_coding,22052,2244,CENPS-CORT,CENPS-CORT readthrough,Approved,APITD1-CORT,nan,True,741,0.3543318382219332
DFFA,DFFA,ENSG00000160049,1,ensembl_havana,10456521,-,ensembl_havana,protein_coding,16005,6622,DFFA,DNA fragmentation factor subunit alpha,Approved,nan,"DFF-45, DFF45, ICAD, DFF1",True,6634,3.1722502223539877
PEX14,PEX14,ENSG00000142655,1,ensembl_havana,10472287,+,ensembl_havana,protein_coding,158471,2995,PEX14,peroxisomal biogenesis factor 14,Approved,nan,nan,True,25381,12.136702275183382
CASZ1,CASZ1,ENSG00000130940,1,ensembl_havana,10636603,-,ensembl_havana,protein_coding,160047,11336,CASZ1,castor zinc finger 1,Approved,nan,"FLJ20321, ZNF693, castor, cst, SRG",True,25964,12.415481575700774
